dish_name,amount,count,average
condensed milk,501,114,4.394736842
shaved ice,546,125,4.368
roti,1064,260,4.092307692
sea bass,1524,373,4.085790885
kobe beef,415,102,4.068627451
sushi samba,783,194,4.036082474
pork belly,1613,402,4.012437811
black beans,1023,255,4.011764706
peking duck,1068,268,3.985074627
mint,507,128,3.9609375
short rib,740,187,3.957219251
filet,639,163,3.920245399
basil,1104,282,3.914893617
jade chicken,524,134,3.910447761
pork chops,918,235,3.906382979
tom yum,632,162,3.901234568
lamb,1588,409,3.882640587
asparagus,434,112,3.875
xo sauce,468,121,3.867768595
black bean,2435,631,3.858954041
comfort food,671,174,3.856321839
sticky rice,902,234,3.854700855
green bean,1599,415,3.853012048
rice cake,439,114,3.850877193
green tea,960,250,3.84
beans,3961,1032,3.838178295
cucumber,1459,381,3.829396325
burrito,788,206,3.825242718
pork chop,1595,417,3.824940048
hot pot,1381,362,3.814917127
green beans,1396,366,3.81420765
salt and pepper,2010,527,3.814041746
dipping sauce,1279,336,3.806547619
spinach,688,181,3.801104972
mu shu,486,128,3.796875
strip mall,1697,448,3.787946429
garlic,5116,1351,3.786824574
squid,1136,300,3.786666667
menta,1310,347,3.775216138
chinese cuisine,955,253,3.774703557
garlic sauce,1151,305,3.773770492
