rice,15613
chicken,11156
beef,6268
chinese food,5542
pork,5138
shrimp,4715
fried rice,4290
oca,3975
meat,3362
salt,2478
asti,2456
dim sum,2389
buffet,2157
egg roll,1959
wonton,1890
dumplings,1703
orange chicken,1691
seafood,1404
broccoli,1370
garlic,1351
tuna,1230
noodle soup,1227
mongolian beef,1176
panda express,1144
onion,1093
bra,1073
beans,1032
spring roll,1008
chow mein,970
mushroom,945
toma,876
hot and sour soup,825
asino,798
honey,792
lo mein,790
the orange chicken,755
cheese,744
cookie,719
pf chang,718
soy sauce,714
lemon,709
wonton soup,690
hong kong,676
gur,674
fast food,652
kung pao chicken,652
nuts,643
dal,641
black bean,631
lobster,624
steak,623
mushrooms,612
won ton,592
white rice,581
sesame chicken,540
salt and pepper,527
rice noodle,490
chinese buffet,488
brown rice,483
ice cream,481
strip mall,448
deep fried,443
pork chop,417
green bean,415
lamb,409
fried chicken,406
calamari,404
pork belly,402
green onion,398
chicken fried,394
chicken wings,386
cucumber,381
sea bass,373
green beans,366
hot pot,362
menta,347
pici,338
dipping sauce,336
ada,328
rice noodles,320
fortune cookie,316
peas,315
cream cheese,314
general tso's chicken,311
dried,310
sandwich,309
garlic sauce,305
squid,300
salmon,295
iced tea,286
basil,282
chile,282
stir fry,280
beef chow fun,273
peking duck,268
honey walnut,267
sweet and sour pork,262
roti,260
steamed rice,258
chili sauce,257
pizza,257
san francisco,256
bok choy,256
black beans,255
egg foo young,254
chinese cuisine,253
sage,251
green tea,250
asian cuisine,238
pork chops,235
sticky rice,234
credit card,229
stir fried,229
congee,224
sweet and sour sauce,222
wonton noodle,220
cashew chicken,216
black pepper,213
main course,212
burrito,206
mexican food,205
spare ribs,203
sushi samba,194
bay area,192
short rib,187
green onions,182
riso,181
spinach,181
brown sauce,179
hot sauce,178
dimsum,177
sushi rolls,177
tripe,176
comfort food,174
americanized chinese food,173
vermicelli,170
bell pepper,169
potatoes,168
filet,163
tom yum,162
oyster sauce,162
fish tank,155
bacon,154
pita,152
bean curd,152
salsa,138
food court,137
peanut sauce,135
jade chicken,134
great wall,133
mint,128
mu shu,128
gold coast,128
pears,126
shaved ice,125
los angeles,124
xo sauce,121
food poisoning,121
miso soup,117
condensed milk,114
rice cake,114
asparagus,112
language barrier,111
standard chinese,110
fried egg,110
guacamole,107
meatball,105
bell peppers,104
kobe beef,102
char siu,100
with black bean sauce,98
mele,98
pepper steak,96
gluten free,95
chili pepper,95
fish ball,93
hoisin sauce,93
california roll,92
chicken rice,91
green pepper,91
pere,90
mapo tofu,89
fried fish,88
chop suey,88
fish sauce,88
red pepper,85
mandalay bay,82
red chili,80
fruits,80
pork ribs,78
coconut milk,78
sesame seed,77
of garlic,77
date night,76
mussels,76
truffle,75
pasta,74
salad bar,73
general chicken,73
shark fin,73
jasmine tea,72
zucchini,72
soy milk,71
sweet potato,71
beef broccoli,69
duck sauce,66
chicken soup,65
spaghetti,65
credit cards,65
lo mien,63
filet mignon,62
japanese food,61
refried beans,61
sesame seeds,60
planet hollywood,59
soft drink,58
strawberries,57
roti canai,57
braised pork,57
taco bell,56
almond chicken,56
chips and salsa,55
octopus,55
chinese sausage,54
prime rib,54
sesame oil,54
napa cabbage,53
frog legs,53
southern california,52
chocolate cake,52
san gabriel,51
peanut butter,51
saving grace,51
ribeye,51
great taste,50
mixed vegetable,50
monte carlo,50
the stir fry,49
monday night,49
cash register,48
mu shu pork,47
twice cooked pork,47
bobo brazil,47
french fries,47
sin city,46
diet coke,45
beef tenderloin,45
hot n sour soup,45
food truck,45
margaritas,44
foie gras,44
chicken skewer,43
red rice,42
egg white,42
