restaurant_name,amount,count,average
Snoh Ice Shavery,877,195,4.497435897
Veggie House,1040,233,4.463519313
Great Bao,476,108,4.407407407
Asian Cafe Express,889,205,4.336585366
Pan Asian,1525,356,4.283707865
Pho Chandler,606,145,4.179310345
Asian BBQ & Noodles,896,216,4.148148148
Food Express Chinese Restaurant,463,112,4.133928571
Beijing Noodle Cafe,690,167,4.131736527
Tott's Asian Diner,863,209,4.129186603
Satay Thai Bistro & Bar,973,239,4.071129707
Chou's Kitchen,520,128,4.0625
Fat Choy,780,194,4.020618557
China Magic Noodle House,875,218,4.013761468
Tottie's Asian Fusion,453,113,4.008849558
Wendy's Noodle Cafe,1082,270,4.007407407
Chino Bandido,2451,612,4.004901961
Thai Style Noodle House 2,583,146,3.993150685
Maxim Restaurant,426,107,3.981308411
Big Wong Restaurant,1182,297,3.97979798
Hakkasan Restaurant,492,124,3.967741935
SUSHISAMBA Las Vegas,4068,1037,3.922854388
The Clever Koi,483,124,3.89516129
Joyful House Chinese Cuisine,932,241,3.867219917
Big Buddha,452,117,3.863247863
George & Son's Asian Cuisine,413,108,3.824074074
Yunnan Garden,598,157,3.808917197
Great Wall Cuisine,586,154,3.805194805
China Chili,773,204,3.789215686
KJ Kitchen,694,184,3.77173913
