dish_name,amount,count,average
rice,54973,15613,3.52097611
chicken,39585,11156,3.548314808
beef,22921,6268,3.656828334
chinese food,19959,5542,3.601407434
pork,18692,5138,3.637991436
shrimp,16946,4715,3.594061506
fried rice,15140,4290,3.529137529
oca,14116,3975,3.551194969
meat,11651,3362,3.465496728
salt,8338,2478,3.364810331
asti,9008,2456,3.667752443
dim sum,8329,2389,3.486395982
buffet,6950,2157,3.222067687
egg roll,6739,1959,3.440020419
wonton,6794,1890,3.594708995
dumplings,6189,1703,3.634174985
orange chicken,6060,1691,3.583678297
seafood,5041,1404,3.59045584
broccoli,4772,1370,3.483211679
garlic,5116,1351,3.786824574
tuna,3871,1230,3.147154472
noodle soup,4427,1227,3.60798696
mongolian beef,4295,1176,3.652210884
panda express,3353,1144,2.930944056
onion,3830,1093,3.504117109
bra,3958,1073,3.688723206
beans,3961,1032,3.838178295
spring roll,3640,1008,3.611111111
chow mein,3289,970,3.390721649
