Topic: 0
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 1
mon : 0.058957554
alright : 0.051800653
option : 0.047261298
forward : 0.043356746
unfortunately : 0.041476544
soooo : 0.041011985
stand : 0.03796703
buds : 0.03242294
space : 0.02917066
bars : 0.02698055
bunch : 0.026261333
grub : 0.017071253
tries : 0.015851796
sloppy : 0.015102074
excited : 0.013329089
Topic: 2
loud : 0.13209952
gave : 0.06399997
worse : 0.03273776
yesterday : 0.029777706
bites : 0.028371232
experienced : 0.028234607
wise : 0.02708522
poisoning : 0.025383037
barely : 0.024472276
favor : 0.023411838
doubt : 0.018571313
instant : 0.01609631
ur : 0.015379433
sorry : 0.012447796
instead : 0.0121542625
Topic: 3
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 4
owner : 0.12583642
customer : 0.12154004
rude : 0.06346358
twice : 0.061858635
12 : 0.045129374
hate : 0.042378865
workers : 0.033376705
hair : 0.028935054
god : 0.024507457
woman : 0.023509724
shame : 0.023399573
completely : 0.02184735
worker : 0.021025473
gotten : 0.018214596
skills : 0.015463682
Topic: 5
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 6
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 7
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 8
town : 0.101151146
thanks : 0.06417503
check : 0.054588675
kabob : 0.05422257
damn : 0.047139958
poor : 0.041273315
spring : 0.03440068
dad : 0.03353293
mesa : 0.022244068
refill : 0.022141596
customer : 0.02214098
cab : 0.018493189
coke : 0.01840826
shit : 0.018385679
sick : 0.017351104
Topic: 9
original : 0.092394784
la : 0.08427796
carte : 0.056226198
opening : 0.04269568
grand : 0.023627235
concept : 0.02142026
los : 0.020555498
familiar : 0.02048291
touch : 0.019088157
quality : 0.018321194
mini : 0.016644333
lime : 0.015955346
vanilla : 0.015922623
quantity : 0.015548284
